exp;cientifico;semilla;e9500;e10000;e10500;e11000;e11500
E03B;Fran;155621;61277;61647;60507;61807;61107
E03B;Fran;245561;60467;59637;59187;58147;58987
E03B;Fran;275449;59917;59257;58497;58947;58987
E03B;Fran;379751;59787;60887;60127;59297;58307
E03B;Fran;396157;62337;62057;61447;61437;60307
E03B;Fran;464843;60067;60497;60147;60227;59567
E03B;Fran;538159;59737;60447;61287;60547;61027
E03B;Fran;538589;60277;61627;60587;60287;60287
E03B;Fran;551659;59937;60167;60537;59327;59837
E03B;Fran;668159;61307;60887;61577;60747;60317
E03B;Fran;721439;60837;60487;59667;60087;60257
E03B;Fran;721481;58827;60757;60037;60977;61117
E03B;Fran;805451;60437;59387;58597;58827;59297
E03B;Fran;843113;61727;61957;61677;60957;61537
E03B;Fran;927001;59637;61347;60887;60187;59517
E03B;Iván;310211;59727;60207;59897;60217;59507
E03B;Iván;209687;59947;61717;61037;60407;59707
E03B;Iván;238681;59667;59447;58277;58597;58377
E03B;Iván;269377;59627;60197;58707;58747;58087
E03B;Iván;312083;60177;59617;60357;59227;58467
E03B;Iván;414101;57817;57847;57977;58397;58857
E03B;Iván;415171;58417;59027;59467;59057;57657
E03B;Iván;442879;60407;59407;59807;58397;58547
E03B;Iván;575921;59637;59397;60737;60877;59597
E03B;Iván;708803;59227;58557;59017;58677;59097
E03B;Iván;709447;58897;59787;60227;60017;59687
E03B;Iván;805271;59867;59307;59887;59377;59447
E03B;Iván;813541;58437;59357;60277;59597;58397
E03B;Iván;876263;58037;58627;60007;58937;58397
E03B;Iván;965177;58587;58717;59057;59137;58497
E01;Fran;155621;55737;55467;56727;57547;57207
E01;Fran;245561;57857;58327;57747;59597;60317
E01;Fran;275449;57117;58457;57807;57857;57607
E01;Fran;379751;58287;57537;57097;59197;59867
E01;Fran;396157;55387;56247;56827;56537;58217
E01;Fran;464843;55337;56717;57717;58147;57747
E01;Fran;538159;55277;55837;56117;56607;58647
E01;Fran;538589;58807;58477;59367;60247;59987
E01;Fran;551659;56137;57687;58147;57817;58157
E01;Fran;668159;56207;56377;56487;56117;55447
E01;Fran;721439;56487;56997;57377;57547;58517
E01;Fran;721481;55977;56587;56207;56987;57817
E01;Fran;805451;56957;58247;59517;59297;58207
E01;Fran;843113;54847;55377;56647;56997;57827
E01;Fran;927001;56687;56607;57177;58007;58247
E01;Iván;310211;56207;57517;59267;59777;60627
E01;Iván;209687;57827;59467;61737;61397;62317
E01;Iván;238681;57747;59787;60317;60617;59917
E01;Iván;269377;55077;57947;57977;58517;59147
E01;Iván;312083;56717;56897;59137;59657;60137
E01;Iván;414101;58807;57627;56697;57707;59417
E01;Iván;415171;58237;58957;60007;60597;60307
E01;Iván;442879;57787;58567;58797;58897;58257
E01;Iván;575921;58267;57347;58277;59347;60687
E01;Iván;708803;58787;59567;60067;60817;60167
E01;Iván;709447;57317;58827;58247;58167;59417
E01;Iván;805271;56677;60317;60127;60337;60437
E01;Iván;813541;56957;58657;59627;59737;59527
E01;Iván;876263;57627;58097;59447;59717;60477
E01;Iván;965177;56737;56497;58527;59717;62387
